kind,run,trainer,game,net,seed,steps_cfg,steps_done,complete,final_return,batch,n_envs,n_steps,n_minibatches,unroll,vec_workers,vec_threads,double_buffer,worker_device,learner_gpus,precision,compiled,ddp,env_threads,mps,node,cfg_hash,path
run,_ppo_pilot_baseline,ppo,caveflyer,nature,0,4000000,3981312,True,3.976,,192,128,8,,,,,,,fp32,False,,0,,,7ebd529c,outputs/_ppo_pilot_baseline
run,_ppo_pilot_bf16_compile,ppo,caveflyer,nature,0,4000000,3981312,True,3.964,,192,128,8,,,,,,,bf16,True,,0,,,608881b0,outputs/_ppo_pilot_bf16_compile
run,_ppo_pilot_compile,ppo,caveflyer,nature,0,4000000,3981312,True,3.721,,192,128,8,,,,,,,fp32,True,,0,,,71d13412,outputs/_ppo_pilot_compile
run,_ppo_s12_base,ppo,breakout,nature,0,8000000,7987200,True,94.475,,192,128,8,,,,,,,fp32,False,,0,,,cc3ce0c8,outputs/_ppo_s12_base
run,_ppo_s12_bf16,ppo,breakout,nature,0,8000000,7987200,True,98.45,,192,128,8,,,,,,,bf16,False,,0,,,1fd9ac14,outputs/_ppo_s12_bf16
run,_ppo_s12_bf16_mb4,ppo,breakout,nature,0,8000000,7987200,True,95.894,,192,128,4,,,,,,,bf16,False,,0,,,2e9ebf88,outputs/_ppo_s12_bf16_mb4
run,_ppo_s12_mb4,ppo,breakout,nature,0,8000000,7987200,True,94.812,,192,128,4,,,,,,,fp32,False,,0,,,bffac5ac,outputs/_ppo_s12_mb4
run,_ppo_s45_dbuf,ppo,breakout,nature,0,8000000,7987200,True,94.912,,192,128,8,,,,,,,fp32,False,,0,,,9d7b375b,outputs/_ppo_s45_dbuf
run,_ppo_s45_dbuf_e384,ppo,breakout,nature,0,8000000,7987200,True,100.047,,384,64,4,,,,,,,bf16,False,,0,,,7c0cd6bf,outputs/_ppo_s45_dbuf_e384
run,_ppo_s45_dbuf_e384s,ppo,breakout,nature,0,8000000,7962624,True,94.643,,384,128,4,,,,,,,bf16,False,,0,,,0040b51b,outputs/_ppo_s45_dbuf_e384s
run,_ppo_s45_dbuf_free,ppo,breakout,nature,0,8000000,7987200,True,94.331,,192,128,4,,,,,,,bf16,False,,0,,,7a2246cd,outputs/_ppo_s45_dbuf_free
run,_ppo_s45_ser_e384,ppo,breakout,nature,0,8000000,7987200,True,94.247,,384,64,4,,,,,,,bf16,False,,0,,,a200ff1a,outputs/_ppo_s45_ser_e384
run,_ppo_s45_serial,ppo,breakout,nature,0,8000000,7987200,True,94.475,,192,128,8,,,,,,,fp32,False,,0,,,2683a703,outputs/_ppo_s45_serial
run,rr_impala_asteroids_s0,impala,asteroids,nature,0,100000000,99942400,True,725.4,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,76ccb5b3,outputs/_rerun/rr_impala_asteroids_s0
run,rr_impala_asteroids_s1,impala,asteroids,nature,1,100000000,99942400,True,705.185,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,76ccb5b3,outputs/_rerun/rr_impala_asteroids_s1
run,rr_impala_asteroids_s2,impala,asteroids,nature,2,100000000,99942400,True,694.354,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,76ccb5b3,outputs/_rerun/rr_impala_asteroids_s2
run,rr_impala_breakout_s0,impala,breakout,nature,0,100000000,99942400,True,259.191,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,cbb6eab2,outputs/_rerun/rr_impala_breakout_s0
run,rr_impala_breakout_s1,impala,breakout,nature,1,100000000,99942400,True,261.86,256,,,,64,12,5,True,"cuda:2,cuda:3",2,bf16,True,,,,,cbb6eab2,outputs/_rerun/rr_impala_breakout_s1
